,text,label
0,She had to provide some proof that she actually worked at the financial firm in 2012 .,3
1,Lucy cleaned up the chemistry equipment .,3
2,You must be tired from your long week and heavy workload .,3
3,Jack sent his parents two suitcases full of clothes before coming home from university with another suitcase .,3
4,Several volunteers jumped into the water to try to save the drowning man .,3
5,The assignment is impossible to finish because it 's so time - consuming .,3
6,They all thought Lily disliked everyone because she was so unfriendly .,3
7,He bought his father an antique plate .,3
8,She put lip balm on her dry lips .,3
9,The dry weather keeps the fields barren .,3
10,Each photo captures a moment when something amazing happened .,3
11,Some people who live in busy cities often prefer doing exciting activities during the weekend .,3
12,William finds literature fascinating .,3
13,The law does not allow us to make those kinds of deals anymore .,3
14,The man took several hostages whom he killed .,3
15,"I keep thinking that if I had only called her sooner , she might still be alive .",3
16,She kept in touch with all of her friends during the holiday so she always knew what everyone was up to .,3
17,"When the parade reached the end of its route , the people began to shout .",3
18,"After soccer practice , my leg suddenly started hurting .",3
19,We hope to meet at Whistler and go skiing together .,3
20,No one was able to eat their dinners knowing the girls were lost outside in the cold .,3
21,Burlap clothes are usually brown .,3
22,Is your shirt made from burlap ?,3
23,She may be having a welcome party for her step sister .,3
24,The teacher was calm and knew exactly what to do when the upset parent called him on the phone .,3
25,The government allows some people to apply for work permits .,3
26,Several officials met to discuss the policy .,3
27,Let 's stop at the bank on the way because I have money to deposit .,3
28,"If they tried to steal it , they 'd be caught on camera .",3
29,You may need to adjust your schedule so you can find a balance between academics and leisure time .,3
30,Have you heard about the South African apartheid ?,3
31,"See a doctor , or the infection may get worse .",3
32,They could not see their way along the road because it was dark .,3
33,"I have to get back to work by one thirty this time , or I will lose my job .",3
34,I 'm used to long commute so it is not a problem for me to travel across the city .,3
35,I love it when babies giggle .,3
36,Mother looked unhappy and had her arms folded across her chest .,3
37,Both of my friends will be studying abroad next year so I am a little sad .,3
38,We have several things for the committee to consider .,3
39,It was built to last a long time .,3
40,Those girls dancing over there had practiced their routine for a week and later won an award .,3
41,He has been the ambassador to China for several years .,3
42,"A large , furry animal ran right past me but I do n't know what it was .",3
43,The woman whose parents died in the car accident was interviewed on the news .,3
44,There have been nearly a hundred cases of kidnapping in the past six months .,3
45,She stopped thinking about the past so as not to make herself upset .,3
46,He refrained from telling her how to do her job because he knew it would cause conflict .,3
47,The only way to solve this is to have everyone come together to talk .,3
48,The author told us why the story ended the way it did .,3
49,The spider bite got infected .,3
50,There was a wind howling all through the night and the next day .,3
51,"During the depression , many people were willing to work almost any job in order to earn money .",3
52,What you read in the newspapers is not always accurate .,3
53,They got together to pray and wish the rains would stop flooding the river and drowning the crops .,3
54,She must come from a very different cultural background from ours .,3
55,She was eagerly waiting for the tooth fairy .,3
56,Dogs love belly rubs .,3
57,None of the people running for the last train were able to board .,3
58,"If he was just a few years older , he would be able to marry without permission .",3
59,His coworkers were very frustrated with him because he turned up late to the meeting .,3
60,All of the women in the room were dressed nicely .,3
61,You must not deceive people just to satisfy your goals .,3
62,I walked through the slush in my boots .,3
63,I traveled around Italy before I went to my aunt 's place in Southern France .,3
64,A traffic accident prevented us from taking the highway .,3
65,The coach wanted to get more information about the opposing team .,3
66,They were the women whose lives were lost .,3
67,His wife is a lawyer at a big law firm just like him .,3
68,Many people recognize the house where Hagrid took Harry Potter to live after his parents were killed .,3
69,My complaining son annoyed me this morning .,3
70,Please tell me whether Mr. Williams is considering investing in our company so I know whether or not I should put in the effort to persuade him further .,3
71,The meeting was called to discuss why campus crimes have risen .,3
72,Many professional teams have several coaches .,3
73,The sky streaked with lightening was beautiful .,3
74,"That 's very nice of you to say , but your compliments are making me blush !",3
75,It will soon be a day or two before you 're flying off to London for your study abroad program .,3
76,I wish those men would stop staring at me .,3
77,Young children are very fond of coloring pictures with crayons in coloring books .,3
78,The windows and walls were covered with brightly colored art from the children .,3
79,"We will meet better , more intelligent people than the ones back in high school .",3
80,Timid people are often afraid of others .,3
81,I know what I 'm doing is worthwhile when I see my students successful and happy with their lives .,3
82,That restaurant has delicious crab risotto .,3
83,"If they were in an earthquake , the cell phones might not work .",3
84,The citizens worked hard after the war to make this country what it is today .,3
85,The problem was caused by ineffective management .,3
86,"If you want to buy a new pair of scissors , you should go to the stationery store .",3
87,She is very good at teaching and she should be given much more credit than she receives .,3
88,"The argument between Liam and his brother was ridiculous , and they never reached a conclusion .",3
89,Perhaps not all of the students were notified about the project .,3
90,Bees and ants make more complex shelters than mice .,3
