Unnamed: 0,text,label,pred,confidence,correct
2285,Blankets may be spread on the ground for a picnic or where people want to sit in a grassy or muddy area without soiling their clothing .,1,1,0.50177395,True
1912,"As with all other cricket statistics , batting statistics and records are given much attention and provide a measure of a player 's effectiveness .",1,0,0.5019459,False
1255,"Both at the server and the user level , Discord allows users to connect these to their Twitch . tv or other gaming service account .",0,0,0.5047881,True
1978,"Built between 2003 and 2006 out of formerly barren lands , it covers 40 hectares .",1,0,0.5056074,False
1700,Standing ovations are also often given in a sporting game to reflect an outstanding individual performance .,0,1,0.506525,False
91,More women being shunned from higher executive positions are protesting on social media .,0,0,0.5078153,True
669,"In many countries , drowning is one of the main causes of preventable death for children under 12 years old .",0,0,0.51021886,True
2560,"The number of strings on the rebec varies from 1 to 5 , although three is the most common number .",1,0,0.5108023,False
1046,"In the world , breast cancer is the fifth-most common cause of cancer death .",0,1,0.5158708,False
2720,"Most tin whistles are in D , because they are often used in music with fiddles .",1,0,0.5203527,False
1031,"It flies slowly with its head facing downwards , looking for its main food , the large apple snails .",0,0,0.52242523,True
2378,"Some performers or groups put on very elaborate and expensive affairs , with parts of the show being similar to a theater performance .",1,0,0.52639246,False
1140,The musical film was a natural development of the stage musical after the emergence of sound film technology .,0,0,0.5271291,True
1673,"But in the inland areas more than half of the population was Serbo- Croatian speaking , after the first years of the 18th century .",0,1,0.52840674,False
857,"Oll , who was married , fell into severe depressions after he divorced .",0,1,0.5300413,False
803,The term gets its name from its use in the parliamentary system of government .,1,1,0.53228307,True
426,The range is about 500 km long and it covers a tract about 48 km broad .,0,1,0.53786564,False
442,The currently accepted rules of ancient Greek boxing are based on historical references and images .,0,0,0.54335,True
2526,"Editors have so far released two platinum studio albums , and six in total , with several million combined sales .",1,0,0.54815143,False
1150,"These birds feed on insects , including those stirred up by cattle .",0,1,0.5482118,False
1739,"Unlike war crimes , crimes against humanity can happen during peace or war .",0,0,0.5520691,True
379,It was found that exercise increases vitality .,0,0,0.5544226,True
720,There are several types of wordplay used in cryptics .,1,1,0.5553775,True
1452,"Although American units were usually able to get new troops quickly , the replacements rarely had enough training .",0,0,0.55930483,True
1325,"In most species , the female does most or all of the nest construction , though the male often helps .",0,1,0.56270635,False
919,"In zoos , lions have been known to breed with tigers .",0,1,0.56735164,False
1005,The mean of a list is all of the numbers added together and divided by the amount of numbers,0,0,0.57128465,True
1893,"The new flag is a horizontal tricolor flag of yellow , green , and red charged with a five-pointed white star in the middle of the field .",1,1,0.5722214,True
