Unnamed: 0,text,label
193,"If I tried and failed , would you be disappointed in me ?",0
2302,"During the next ten to eleven hours , the radioactive cloud moved towards the northeast , reaching between 300 and 350 kilometers from the accident .",1
344,The wives and the children were supposed to be seated first .,0
336,The policemen remain focused on the investigation .,0
1175,"A female Gilbert 's potoroo can have two babies in a year , while carrying only one at a time .",0
644,The club have had a number of different kit manufacturers since the 1970s .,0
1471,"The Forest is an important recreational area with woodland walks , noted for their displays of bluebells in the early spring .",0
1720,"As of 2018 , there are seven living former Prime Ministers .",0
367,It is a story about a world where wizards live .,0
1582,Energy efficiency will continue to increase .,0
735,These incidents led to reforms in the packaging of over- the -counter medications and to federal anti-tampering laws .,1
514,Urinary tract symptoms are frequently lacking in the elderly .,1
1807,Seventy students and teachers traveling to the United States for summer camp were among the Chinese passengers .,0
110,Not all of the people who live in that area need critical financial support .,0
1757,"Monsters will talk with players during the battles , and the game will tell the players what the monster 's feelings and actions are .",0
68,Many people recognize the house where Hagrid took Harry Potter to live after his parents were killed .,0
343,"His wealth was reflected by the beautiful furniture in each room , which was from different parts of the world .",0
1891,"In the US , more than 200,000 surgeries are done to fix reproductive organs bulging out of the vagina .",1
299,Her memory began to fail until finally she no longer knew me .,0
962,However in April 1940 he suffered a massive stroke .,0
360,She learned aikido so she would n't be fearful .,0
2173,"Not only did nimravids have varied tooth styles , but they also showed the same range of size size and shape as felids .",1
42,"A large , furry animal ran right past me but I do n't know what it was .",0
1558,"Gabrielle starts the series as a young girl who more or less stands behind Xena , and relies on Xena to protect her .",0
1588,"The tower is situated at the southern side of the place , where the land walls of the city join the sea walls .",0
1714,"The river is known for its water mills ; during the 1950s , there were about 18 of them .",0
971,"In 2002 , there were nearly 1,500 pupils in the school , of whom fewer than 1,300 were at age 16 or below .",0
1390,Interest in the machine grew across Europe .,0
1178,"As part of the changes , the transport to Ravenscraig will get better .",0
2652,"The family is endemic to Australia , and comprises 16 species in four genera .",1
275,Titanium is commonly found in the earth 's crust .,1
707,"Confetti are made in a variety of colors , and commercially available confetti come in many different shapes .",1
517,It is the science of the endocrine system and hormones in a wide range of animals .,1
2066,Flame ionization detectors are used most often for organic compounds .,1
2197,"In some jurisdictions , specific types of criminal cases may also be commenced by the filing of a complaint , also sometimes called a criminal complaint or felony complaint .",1
893,Ana again notices the same woman seeing her and Christian from a distance .,0
2793,The following is a list of some notable nonfiction works discussing anarcho-capitalism .,1
2717,"Some services , such as MuzIcons , combine emoticons and Adobe Flash music player in a widget .",1
1727,These mountains are a popular tourist attraction .,0
1026,There are four kinds of exams : These are by far the most commonly taken exams .,0
1154,He was then nominated by the prime minister to serve as the Minister of Finance .,0
300,They have n't gotten any sleep since the twins were born .,0
1993,"The period from 18,000 to 15,000 years ago saw increased aridity of the continent with lower temperatures and less rainfall than currently prevails .",1
2671,These birds feed on nectar from flowers using a long extendable tongue .,1
2440,"In humans and animals , fear is modulated by the process of cognition and learning .",1
607,Convective rainbands can form parallel mountains on their windward side .,1
1960,"In the early 20th century , petticoats were circular , had flounces and buttons in which women could attach additional flounces to the garment .",1
2221,Alekhine was known for his attacking style : he was good at turning an initiative into a win .,1
1850,The song received mixed reviews from music critics .,0
2300,Secondary structure refers to parts of the protein chain that form regular structures .,1
159,We just have to accept our son-in- law .,0
2582,"To hunt fish , the eagle swoops down over the water and snatches the fish out of the water with its talons .",1
981,A kick in wrestling is an attack using any part of the foot or lower leg to strike the opponent 's body or head .,0
511,"Psychology is the scientific study of human behavior , mental functioning , and experience .",1
731,As the price of scrap metal has increased plaques have been the target of metal thieves wishing to resell the metal for cash .,1
460,"Most spiders have four pairs of eyes on the top-front area of the body , arranged in patterns that vary from one family to another .",0
853,The remaining three of the 33 tracks are instrumentals .,0
2724,Statistical hypothesis testing is based on the assessment of differences and similarities between frequency distributions .,1
2703,Shortage of rain during the highly variable Monsoon season can cause droughts in U. P. leading to severe loss to man and property .,1
1633,A fishing port is a port or harbor used by people who are fishing .,0
1841,Increasing market share is one of the most important objectives in business .,0
1744,"As of , there are eight living former Prime Ministers of Egypt , as seen below .",0
270,They raced their motorcycles through a dangerous intersection .,1
711,The chassis are made of chrome moly tubing .,1
2228,"A large number of settlers arrived in the 1850s and 1860s , many of whom were ancestors of today 's residents .",1
2371,"The National Parks Act of 1980 was established in order to codify the purpose , governance and selection of national parks .",1
1668,Pusheen is an example of the popularity of cats on the Internet and in social media .,0
2753,"Because of their size range , it is probable that different species hunted in different ways , which allowed them to fill many different predatory niches .",1
2109,There is no official legal definition of ethnic cleansing .,1
381,She went to a school taught by nuns .,0
834,"In Singapore , 7 - Eleven forms the largest chain of convenience stores island-wide .",0
1826,The film earned mainly negative reviews from critics .,0
1750,Oats are also sometimes used in drinks .,0
968,"However , there has been much debate over the origin and meaning of this word .",0
2525,"Editors have so far made two platinum albums , selling over two million copies around the world .",1
399,Meteorologists have a tough job .,0
1391,"Following word of its debut , interest in the machine grew across Europe .",0
1066,The initial landings began at 04 : 50 on 19 August .,0
814,The French Tech aims to provide a strong common visual identity to French startups as well as to promote entrepreneurial exchanges between them .,1
960,"Some of these tropical cyclones have caused deaths or a lot of property damage , usually because of flooding created by rain .",0
2203,"As hormones are defined functionally , not structurally , they may have diverse chemical structures .",1
2451,"Although it is rare , Korats occasionally have striking or faint white markings or spots or even very faint grey stripes .",1
923,"His views have been spread around the world , mostly through the tracts and now online .",0
1896,The Dr. I suffered other deficiencies .,1
2742,"As a result of the increased demand and tightening restrictions on exports of the metals from China , some countries are stockpiling rare- earth resources .",1
1166,"16 - bit programs usually run in a single virtual DOS machine , sharing memory between them .",0
2791,A request line containing only the path name is accepted by servers to maintain compatibility with HTTP clients before the HTTP / 1.0 standard .,1
1564,"When writing currency amounts , the location of the symbol varies by language .",0
1420,In following years a number of books presented by foreign publishers have been seized by Egyptian authorities .,0
2485,Hyperoliids range from 1.5 cm to 8 cm in body length .,1
413,"The same is true , up to a point , of the chemical reactions of living things .",0
774,"Depending on the size of the motorcade and who it is carrying , routes may be completely blockaded from the general public .",1
612,"The main range was three storeys high , 42.4 m by 5.5 m . Each floor was used for doubling - and there were 306 doubling machines .",0
1615,All nine of the Grenfell brothers were accomplished polo players .,0
1230,The islands are a popular destination for Western tourists .,0
2106,The climate of the region is subtropical monsoonal .,1
1652,It was in 1907 that residents of the town decided it was time to incorporate .,0
2150,China has said that resource depletion and environmental concerns are the reasons for increased nationwide control of its rare earth mineral production .,1
2022,"One method , more obscure than most , is round half alternatingly .",1
1858,"Bidding documents were sent to seventeen cities in consideration for hosting a WrestleMania event between 2012 and 2014 , with fourteen replying in interest .",0
2745,It can be argued that an interstellar mission which cannot be completed within 50 years should not be started at all .,1
269,Hold your nostrils closed before you dive in .,1
997,"In the period from 18,000 to 15,000 years ago , Australia became dryer , with lower temperatures and less rainfall .",0
1494,An architecture competition in 1927 did not produce a winning entry .,0
1443,In the years between convict settlement and the start of the modern tourist industry the area most people worked in the timber industry and fishing .,0
2311,"As dance progressed into the 19th century , the emphasis on technical skill increased , as did the desire to dance en pointe without the aid of wires .",1
2663,Diamond is a well known allotrope of carbon .,1
1058,"The iOS 6.1 update released on January 28 , 2013 had reports of reduced battery life and problems with signal strength .",0
434,"Each unit built in this way is a single 10 ft section of bridge , with a 12 ft roadbed .",0
1224,"The median income for a household in the county was $ 64,294 .",0
1264,The unit deals with cross disciplinary water issues relating to industry and mining .,0
916,Inert gases are often used in the chemical industry .,0
1560,Foxes and human beings lived close together in ancient Japan ; this is why there are legends about them .,0
2602,"As a simple example , consider the average daily maximum temperatures for two cities , one inland and one on the coast .",1
118,My grandmother 's soup is nice to eat because it not only has all the essential nutrients but also tastes like home .,1
1485,"Businesses usually have some kind of fax system , but the technology has faced increasing competition from Internet - based methods .",0
2435,Smoked and salted cod roe paste is very popular in Sweden .,1
1810,"In most cases , control engineers make use of feedback when designing control systems .",0
306,Cargo ships dock in port cities .,0
2081,"Images of the deity , quite different from those of the other gods , were kept in homes .",1
1227,The line joins central Singapore to the north-eastern part of the island .,0
1238,Some backpacks are specifically designed to carry certain items .,0
1665,The majority of feature movies are between 70 and 210 minutes long .,0
1159,The highlighted countries qualified for the final .,0
2417,"In the past , non-photosynthetic plants were thought to get food by breaking down organic matter like fungi do .",1
1137,Late in life he suffered from depression .,0
2218,Nematode species can be difficult to distinguish from one another .,1
382,Wages in many industries have increased for the first time in many years .,0
2430,"Over the next few days , a psychological war ensues .",1
1883,"Since the advent of personal computing , page layout skills have expanded to electronic media as well as print media .",1
497,Most victims of the genocide were killed in their own villages .,1
1874,The long pit straight has also been utilized for drag racing .,0
1405,Failure to wear the rainbow jersey where required carries a penalty of 2500 to 5000 Swiss francs .,0
226,The dogs got tired from running at the park this afternoon .,0
10,Each photo captures a moment when something amazing happened .,0
1811,The number of homeless people worldwide has grown steadily in recent years .,0
2396,The brightness of an object can be expressed in terms of its absolute magnitude .,1
1312,The current tower is the second to occupy the site .,0
580,Animated sequels and movie-length episodes of animated series are also often released in this fashion .,1
316,They were given several types of fish .,0
2013,"For an algebraic proof of this result , start with the equation",1
102,This is why some procedures worked and others didn't .,0
1090,The opinions of viewers at the time was divided and it has not fared better over time .,0
637,"People with BPD feel emotions more easily , more deeply and for longer than others do .",0
139,Let 's catch snowflakes on our tongues .,0
1610,Food power is an integral part of the politics of food .,0
1644,"There are also numerous journals , on - line articles and blogs available .",0
389,They were n't hopeful about finding the missing boys .,0
934,"In 1863 , there was a design contest for a new building for the museum .",0
1017,"The station was built in a modern airport style , with all of its many platforms sited underground .",0
957,"For most of the first half of the 20th century , with a few exceptions , petticoats were out of fashion .",0
1833,"A consultant is usually an expert or a professional , in a specific field , who also has a wide knowledge of the subject matter .",0
2478,"Although businesses usually maintain some kind of fax capability , the technology has faced increasing competition from Internet - based alternatives .",1
2446,Thermal resistance is the inverse of thermal conductance .,1
589,It is possible to use rounded arithmetic to evaluate the exact value of a function with a discrete domain and range .,1
2131,"A strong tropical wave moved off the coast of Africa late on August 20 , and almost convective banding and a broad circulation .",1
947,The area of the national park is home to an extremely wide variety of animal and bird species .,0
1019,"In this way , one QRcode can deliver the same article in many languages , even when the museum is unable to make its own translations .",0
1502,"Actors working in theater , film , and television have to learn different skills .",0
825,A properly engineered structure does not necessarily have to be extremely strong or expensive .,0
550,"In lateral approximants , only the center of the tongue touches the roof of the mouth .",1
1873,The long pit straight has also been used for drag racing .,0
1212,"In 2001 , the local community published its own findings about the forest 's sustainable management .",0
1100,The main entrance to the castle is through the western barbican .,0
127,"Here , take this and do n't argue with me because I know you need it .",0
1465,"From the beginning , graphic designs were used to identify teams .",0
2240,Synapsids are characterized by having differentiated teeth .,1
190,The number of people on his side of the church was much greater than the number on hers .,0
1401,Independence is another advantage of owning a small business .,0
352,The twins never got along and they were constantly arguing .,0
24,The teacher was calm and knew exactly what to do when the upset parent called him on the phone .,0
2099,Some people who do this started using pictures of text to make it harder for anti-phishing filters to see it .,1
906,Outside politics he graduated as cand . jur .,0
2616,Some former subspecies are today recognized as species due to genetic reasons .,1
2399,"Flare stars are intrinsically faint , but have been found to distances of 1,000 light years from Earth .",1
1211,"As people from Europe began exploring Africa in the early 1800s , guns were made to handle the very large animals that people saw .",0
2301,"In the next 10 to 11 hours , the radioactive cloud moved towards the north- east , reaching from the accident .",1
365,"To prevent break-ins , the locks were changed .",0
388,I wish I could find some way to convince her to come here for a visit .,0
852,A- flat minor is rarely used as the main key of a piece of music .,0
1722,"As chess became more popular in the second half of the 19th century , the term began to be given out by organizations .",0
245,Skater culture is popular right now .,0
1210,"The buildings are not tall , but the complex covers a large area of land .",0
1520,"The food of Cambodia includes tropical fruits , rice , noodles and various soups .",0
143,I believe it is awful to cheat .,0
1766,"In many societies , shepherds were an important part of the economy .",0
802,"In the overnight hours after formation , the storm was disorganized with a shabby and abstracted center of circulation .",1
2706,Jainism postulates that time has no beginning or end .,1
657,"Today there are only six known species of lungfish , living only in Africa , South America and Australia .",0
770,"Stotting makes a prey animal more visible , and uses up time and energy that could be spent on escaping from the predator .",1
2808,Below is a list of longest reigning cruiserweight champions in boxing measured by the player 's longest reign .,1
246,It was on this spot where my husband proposed to me .,0
65,The coach wanted to get more information about the opposing team .,0
833,Many visual novels use voice actors to provide voices for the characters in the game .,0
1387,It is difficult to exactly trace the history of design management .,0
1248,"The award consists of 100,000 Taka , an 18 carat gold medal weighing 3 tolas .",0
1712,"A DVD of the first series was released on 19 September 2005 , however there is still no word of series two on DVD .",0
1016,The amount of fuel used to find specific impulse can be measured in different ways .,0
469,Credits adapted from West 's official website .,0
1346,The Cybermen have had a number of weaknesses since their introduction .,0
2117,The inner ear consists of the cochlea and several non-auditory structures .,1
1393,"Occasionally in ancient times , writings were attributed to celebrated authors but were not written by them .",0
688,It was never intended as a teaching tool .,0
2119,Agrology of watercress is both a large scale and a garden scale .,1
