Unnamed: 0,text,label
390,"Being the good brother he is , he paid for his sister 's loans once he was able to afford it .",0
2646,Feature films usually have insurance in place by the time principal photography begins .,1
601,"In most countries , an unincorporated association does not have separate legal personality , and few members of the association usually enjoy limited liability .",1
1865,"Basketball today is played by more than 300 million people worldwide , making it one of the most popular team sports .",0
2596,"No firm dates can be assigned to this Emperor 's life or reign , but he is conventionally considered to have reigned from 498 to 506 .",1
166,The main thing that I wanted to say was to tell you how grateful I am for your friendship .,0
1193,"Historically , Latin or Romance languages have been the official languages in this region .",0
650,Fireworks dates back to the 7th century and originated in China .,0
2598,"Under some conditions , such as extremely low temperature , some ceramics exhibit high- temperature superconductivity .",1
1115,"Some adults travel to other countries to have access to sex with children , which is unavailable in their home country .",0
1885,The color irresistible is displayed at right .,1
2392,Healthy gums usually have no reaction to normal disturbance such as brushing .,1
1971,The first recorded outbreak of chikungunya may have been in 1779 .,1
630,The 20 in diameter cannon accepted balls that weighed 175 kg .,0
2287,Dodder can be identified by its thin stems .,1
2690,Most oomycetes produce two types of spores .,1
1713,Goaltenders are not permitted to serve as captains during games .,0
171,"Whenever I need to buy something new , I search for information in a catalogue .",0
1905,"A traditional design , the grapnel style is simple to design and build .",1
1372,The name used generally refers to the type of military activity that takes place at the base .,0
113,There is probably titanium in your eyeglass frames .,1
351,Florida has beautiful sunsets skies .,0
374,"Until recently , women were not allowed to vote in that country .",0
1782,"The silky sifaka has a variable social structure , and lives in groups of two to nine individuals .",0
438,Governments use different kinds of taxes and vary the tax rates .,0
1765,"In the knockout phase , teams play against each other over two legs on a home - and - away basis , except for the one-match final .",0
1700,Standing ovations are also often given in a sporting game to reflect an outstanding individual performance .,0
2779,Evaporation is an essential part of the water cycle .,1
844,"In golf , a golfer plays a number of holes in a given order .",0
2617,SIDS rates are higher in babies of mothers who smoke during pregnancy .,1
2010,"Before the unification of Egypt , the land was settled with autonomous villages .",1
1191,"After that , many people contributed code to the project .",0
1518,"Birdsong died on June 4 , 2019 , as a result of injuries sustained in a car crash .",0
836,"Though never intended as a teaching tool , various viewers used the knowledge they obtained watching the show .",0
272,"If I were an engineer , I would look for a chemical safer than water to use for geothermal energy production .",1
1952,"A common-use facility or terminal design disallows airlines to have its own proprietary check - in counters , gates and IT systems .",1
2811,The sarus crane is easily distinguished from other cranes in the region by the overall grey color and the contrasting red head and upper neck .,1
1680,Heavy rotation or power rotation is a list of songs that get the most airplay on a radio station .,0
647,The methods used cover both static and dynamic situations .,0
2516,The court has ruled that the $ 2.7 billion in school funding was inadequate and distributed unfairly .,1
8,She put lip balm on her dry lips .,0
826,"Many species have five petals , often grown together .",0
1600,There are major differences between the political system of the United States and that of most other developed democracies .,0
